Symbol,Interval,RSI_Set,SL_TP,Return%,Trades,WinRate
LINK,4h,45/55,5%/10%,239.31512354917396,63,50.79365079365079
LINK,4h,40/60,5%/10%,196.79505418987898,46,52.17391304347826
LINK,4h,45/55,3%/6%,190.5946537891961,74,51.35135135135135
LINK,4h,35/65,5%/10%,132.90277021507876,29,55.172413793103445
LINK,4h,45/55,2%/6%,120.24610624306091,75,42.66666666666667
ETH,1h,45/55,5%/10%,110.81240074217322,31,51.61290322580645
LINK,4h,35/65,3%/6%,101.41039944548112,32,56.25
LINK,4h,35/65,2%/6%,85.98911734494212,32,50.0
LINK,4h,45/55,2%/4%,78.91253641669114,77,48.05194805194805
BNB,4h,35/65,3%/6%,78.58753659672887,27,55.55555555555556
LINK,4h,45/55,1%/2%,77.15434093720486,80,51.24999999999999
LINK,4h,30/70,5%/10%,75.96959334973027,9,77.77777777777779
BNB,4h,40/60,3%/6%,64.62989990978963,36,50.0
LINK,4h,35/65,2%/4%,61.78271405806759,32,56.25
DOGE,4h,40/60,2%/6%,61.75760779428138,46,43.47826086956522
DOGE,4h,40/60,1%/2%,60.207141382841286,46,56.52173913043478
DOGE,4h,40/60,3%/6%,58.41713618836638,44,47.72727272727273
BTC,1h,35/65,5%/10%,57.13589887964863,11,63.63636363636363
BTC,4h,45/55,2%/6%,54.393357823727406,77,35.064935064935064
LINK,4h,40/60,2%/6%,49.66225081041146,51,39.21568627450981
OP,15m,45/55,3%/6%,49.591121868855204,30,50.0
SOL,4h,45/55,1%/2%,49.52874151438716,86,51.162790697674424
LINK,1h,30/70,5%/10%,49.44118074975088,17,52.94117647058824
DOGE,4h,45/55,2%/6%,49.07075561035579,75,37.333333333333336
LINK,1h,35/65,5%/10%,46.06869475337299,23,47.82608695652174
SOL,4h,40/60,1%/2%,45.76922814296434,60,55.00000000000001
LINK,4h,40/60,3%/6%,45.401851920350644,51,45.09803921568628
ARB,4h,30/70,3%/6%,43.559587763323066,13,61.53846153846154
LINK,1h,40/60,5%/10%,42.74314374659523,35,42.857142857142854
BNB,4h,45/55,3%/6%,42.05485969770887,50,44.0
BTC,4h,30/70,3%/6%,41.721051419984384,15,60.0
SOL,4h,30/70,2%/6%,41.6256502788385,22,50.0
DOGE,4h,45/55,3%/6%,41.570005875305746,69,42.028985507246375
BTC,4h,30/70,2%/6%,40.94392357752213,16,50.0
LINK,1h,45/55,5%/10%,39.34210355097893,38,42.10526315789473
LINK,4h,30/70,3%/6%,37.872236162067885,11,63.63636363636363
BTC,4h,30/70,5%/10%,37.36181260379405,14,50.0
DOGE,4h,30/70,1%/2%,36.993554874711116,14,71.42857142857143
LINK,4h,30/70,2%/4%,36.398356298161,11,72.72727272727273
DOGE,4h,30/70,3%/6%,36.320398516042225,14,57.14285714285714
OP,4h,40/60,5%/10%,35.58706208363922,39,41.02564102564102
BNB,4h,40/60,2%/6%,35.18217679177228,40,37.5
BTC,4h,40/60,2%/6%,33.814792324313,61,34.42622950819672
ARB,4h,35/65,5%/10%,33.69889349814862,27,44.44444444444444
SOL,4h,35/65,2%/4%,33.491008390773956,40,50.0
SOL,4h,30/70,2%/4%,33.451174241991225,22,59.09090909090909
SOL,4h,30/70,3%/6%,32.66918287995659,21,52.38095238095239
DOGE,4h,40/60,5%/10%,31.769317440866214,41,41.46341463414634
SUI,1h,45/55,5%/10%,31.524990172907636,44,38.63636363636363
DOGE,4h,45/55,1%/2%,31.514704436080475,75,45.33333333333333
BNB,1h,40/60,5%/10%,29.93210059663643,24,41.66666666666667
LINK,4h,35/65,1%/2%,29.763759631066023,32,59.375
SOL,4h,35/65,5%/10%,29.63109845604447,38,42.10526315789473
SUI,1h,40/60,5%/10%,29.355532016724624,36,38.88888888888889
SOL,4h,40/60,2%/4%,28.91655987183292,58,46.55172413793103
SOL,4h,35/65,1%/2%,28.374105998006783,41,56.09756097560976
BNB,4h,35/65,2%/6%,27.826663217278245,27,37.03703703703704
LINK,4h,30/70,2%/6%,27.16006674260202,11,54.54545454545454
OP,4h,45/55,3%/6%,26.995299013493835,68,39.705882352941174
LINK,4h,40/60,2%/4%,26.753241751016297,51,45.09803921568628
ARB,4h,30/70,5%/10%,25.896330010001428,12,50.0
DOGE,4h,30/70,2%/6%,25.61024623847768,14,50.0
ARB,4h,40/60,3%/6%,25.03606583691101,58,43.103448275862064
BTC,4h,40/60,3%/6%,24.959495608707357,54,40.74074074074074
BTC,4h,30/70,2%/4%,24.863928752485776,16,50.0
BNB,1h,35/65,5%/10%,24.699130576100924,22,40.909090909090914
OP,1h,30/70,5%/10%,24.05715327181656,10,50.0
OP,15m,40/60,3%/6%,23.73832416190746,26,42.30769230769231
ETH,4h,40/60,1%/2%,22.83626505797247,69,46.3768115942029
ETH,1h,45/55,2%/6%,22.51946997882128,60,31.666666666666664
DOGE,15m,45/55,5%/10%,22.442082557885737,10,50.0
LINK,15m,35/65,2%/6%,22.353170840992743,12,41.66666666666667
LINK,1h,45/55,2%/4%,22.342215831672775,84,39.285714285714285
SOL,4h,35/65,2%/6%,22.20081689379099,40,37.5
LINK,4h,40/60,1%/2%,21.45919097962535,51,49.01960784313725
DOGE,4h,35/65,1%/2%,21.404657593794013,29,51.724137931034484
BTC,1h,30/70,3%/6%,21.37029213745227,17,47.05882352941176
OP,1h,35/65,2%/4%,21.317014981646775,25,48.0
BTC,4h,35/65,2%/6%,21.12839985799758,40,35.0
OP,15m,45/55,2%/6%,21.00883454046568,38,34.21052631578947
ETH,4h,35/65,5%/10%,20.245242492407964,34,41.17647058823529
DOGE,4h,35/65,3%/6%,19.520289022202768,28,46.42857142857143
BTC,1h,30/70,2%/6%,19.49948358924762,17,41.17647058823529
OP,4h,45/55,2%/6%,19.49650345215873,69,34.78260869565217
SUI,1h,35/65,5%/10%,19.43863327147333,26,38.46153846153847
BTC,4h,45/55,3%/6%,19.133323218564126,66,39.39393939393939
OP,1h,40/60,1%/2%,19.01065218880842,60,43.333333333333336
DOGE,4h,40/60,2%/4%,18.82750529554719,46,45.65217391304348
OP,4h,45/55,5%/10%,18.700488456954666,61,39.34426229508197
LINK,15m,30/70,2%/6%,18.33299129805157,8,50.0
BNB,4h,45/55,2%/6%,18.247886537412477,56,32.142857142857146
LINK,4h,30/70,1%/2%,18.09352076131256,11,63.63636363636363
ARB,1h,35/65,2%/6%,17.469184900779215,32,34.375
LINK,15m,35/65,2%/4%,17.43409480077448,13,53.84615384615385
MATIC,1h,40/60,2%/4%,17.40659663926965,60,40.0
BNB,4h,30/70,3%/6%,17.281412666031244,12,50.0
ARB,1h,35/65,3%/6%,17.121048022478067,29,41.37931034482759
BTC,4h,40/60,2%/4%,17.005268528423198,63,39.682539682539684
OP,1h,30/70,2%/4%,16.12792283063634,11,54.54545454545454
SOL,4h,45/55,2%/4%,15.904598381995196,81,44.44444444444444
SOL,4h,35/65,3%/6%,15.397303489291609,39,41.02564102564102
ETH,1h,40/60,5%/10%,15.129914916315942,27,40.74074074074074
ARB,1h,40/60,5%/10%,15.07368697985694,34,38.23529411764706
ETH,4h,45/55,1%/2%,14.964089228855254,96,42.70833333333333
ARB,4h,35/65,3%/6%,14.651693328074725,30,43.333333333333336
SOL,4h,40/60,3%/6%,14.487932532665651,56,41.07142857142857
SOL,4h,40/60,2%/6%,14.27573564389868,57,35.08771929824561
BNB,4h,45/55,1%/2%,13.6990477439708,67,41.7910447761194
LINK,15m,35/65,3%/6%,13.473023933995432,11,45.45454545454545
OP,15m,40/60,2%/6%,13.35761518310694,28,32.142857142857146
LINK,15m,30/70,3%/6%,12.754064880907482,8,50.0
OP,4h,40/60,3%/6%,12.541654964511373,40,40.0
LINK,1h,30/70,3%/6%,12.405653035120144,18,38.88888888888889
BTC,4h,40/60,1%/2%,12.395264293909259,70,45.714285714285715
BTC,4h,35/65,3%/6%,12.370336978860815,37,40.54054054054054
SOL,1h,30/70,5%/10%,12.363076723730797,14,42.857142857142854
ARB,4h,35/65,1%/2%,12.24709707150555,32,40.625
OP,1h,40/60,2%/4%,12.153787677455535,57,40.35087719298245
BTC,4h,35/65,2%/4%,12.10873584004339,40,40.0
OP,1h,45/55,1%/2%,12.10611581690298,89,39.325842696629216
ETH,4h,40/60,2%/6%,11.945177116199465,64,32.8125
LINK,15m,30/70,2%/4%,11.81279003399186,9,55.55555555555556
MATIC,15m,30/70,2%/4%,11.761546322817049,15,46.666666666666664
LINK,1h,40/60,3%/6%,11.411216437538178,51,37.254901960784316
ETH,4h,40/60,2%/4%,10.724815500518593,64,39.0625
BTC,15m,45/55,5%/10%,10.578826373488551,6,50.0
BNB,4h,40/60,1%/2%,10.372833373547632,45,44.44444444444444
BTC,4h,45/55,1%/2%,10.324670925698365,97,44.329896907216494
OP,4h,40/60,2%/6%,10.308946789467063,40,35.0
ARB,4h,30/70,2%/6%,9.94865322859646,13,38.46153846153847
DOGE,4h,35/65,2%/6%,9.912573025466235,29,37.93103448275862
BTC,1h,30/70,5%/10%,9.794387489902965,9,44.44444444444444
SUI,15m,40/60,3%/6%,9.73963001446009,23,39.130434782608695
MATIC,1h,45/55,1%/2%,9.652778347374555,94,41.48936170212766
ARB,4h,40/60,1%/2%,9.602142342207026,63,41.269841269841265
MATIC,15m,40/60,2%/4%,9.594397487890092,34,38.23529411764706
OP,4h,30/70,2%/6%,9.55838587499802,12,41.66666666666667
OP,15m,40/60,2%/4%,9.419179506652972,35,40.0
ARB,15m,40/60,1%/2%,9.233314234411978,52,42.30769230769231
SOL,4h,40/60,5%/10%,9.14700697465771,51,39.21568627450981
BTC,1h,35/65,2%/6%,8.250834742321876,25,32.0
ARB,1h,45/55,3%/6%,8.245090828615139,69,36.231884057971016
BNB,1h,45/55,5%/10%,8.011522522485643,24,37.5
ETH,4h,45/55,2%/6%,7.909216482428678,82,31.70731707317073
MATIC,1h,45/55,2%/4%,7.851672738488491,78,38.46153846153847
BTC,4h,30/70,1%/2%,7.80198122590732,16,56.25
BNB,4h,30/70,5%/10%,7.690994625973281,11,36.36363636363637
SOL,4h,30/70,5%/10%,7.558575923032845,21,42.857142857142854
MATIC,1h,35/65,1%/2%,7.4585384966003625,33,45.45454545454545
BTC,1h,45/55,1%/2%,7.077393924317767,75,40.0
ETH,1h,45/55,2%/4%,6.712577356289626,68,38.23529411764706
DOGE,4h,45/55,5%/10%,6.45695432269863,60,38.333333333333336
LINK,15m,40/60,2%/6%,6.3108699404967865,20,30.0
ETH,4h,35/65,2%/6%,5.891186898126193,42,33.33333333333333
OP,4h,30/70,5%/10%,5.886796221728013,12,41.66666666666667
OP,4h,30/70,3%/6%,5.8786806497849735,12,41.66666666666667
